Parcel,Year,Land_Assessment,Improvement_Assessment,Total_Assessment
71019405060,2019,79200,123800,203000
70923159127,2019,8000,7000,15000
70825401056,2019,1320000,1514000,2834000
70824407162,2019,104400,172800,277200
70931302057,2019,146200,115600,261800
70921220061,2019,128000,325400,453400
70923132199,2019,138000,430000,568000
70913405093,2019,92400,178500,270900
70923116193,2019,148500,360000,508500
70820104077,2019,100,0,100
71009401078,2019,62400,125700,188100
81033309023,2019,94000,247500,341500
80925107149,2019,54300,122900,177200
70814426015,2019,90000,231700,321700
70922110120,2019,0,0,0
60906107235,2019,73900,146200,220100
70920219809,2019,0,0,0
70917101473,2019,91800,490200,582000
71016110208,2019,63700,155300,219000
70836107099,2019,71900,183300,255200
71006428067,2019,104100,191300,295400
70927201015,2019,0,0,0
70936406200,2019,0,0,0
71006429099,2019,109100,237500,346600
70824413143,2019,330000,1240000,1570000
70920218744,2019,400,14600,15000
71010117086,2019,56100,193200,249300
60811408158,2019,76100,195600,271700
80924422689,2019,400,1600,2000
70931408011,2019,62200,142300,204500
70923133022,2019,240000,1368000,1608000
71005221248,2019,65100,116700,181800
81021305182,2019,53500,173200,226700
70913203140,2019,68500,771500,840000
70824219088,2019,97000,127900,224900
70835108197,2019,124400,396700,521100
81032419229,2019,44000,131700,175700
81028102200,2019,59300,158400,217700
81019301100,2019,60400,159800,220200
71015119342,2019,46000,189800,235800
80913300987,2019,0,0,0
70924218419,2019,51300,743300,794600
71006119062,2019,38700,331900,370600
70823121169,2019,20000,103200,123200
70920302456,2019,123200,276200,399400
70914420173,2019,218000,636000,854000
70922326090,2019,176000,344000,520000
60801216131,2019,70000,200700,270700
70923147180,2019,8000,7000,15000
71022302998,2019,45000,260000,305000
70918307195,2019,86200,141700,227900
81034408238,2019,67900,149900,217800
70923307049,2019,105300,143100,248400
70932403169,2019,111100,174200,285300
81030215091,2019,4500,53100,57600
81033100017,2019,0,155700,155700
70823110211,2019,98500,203200,301700
70919221229,2019,101300,79000,180300
70823403294,2019,35900,202000,237900
70923219046,2019,83400,768600,852000
60802421086,2019,0,0,0
80936409055,2019,73700,142800,216500
70834212105,2019,78300,223900,302200
71036200972,2019,0,0,0
70921419185,2019,131700,330000,461700
70920108078,2019,114400,210800,325200
60802115473,2019,20500,125000,145500
70920219213,2019,0,0,0
71004309152,2019,58500,110500,169000
70932204070,2019,75300,136100,211400
70914437847,2019,1100,5900,7000
70933204152,2019,153200,457900,611100
70920113077,2019,114400,145600,260000
70931102126,2019,118300,115700,234000
70828124142,2019,12900,188800,201700
70920217770,2019,400,14600,15000
70836213664,2019,11600,115700,127300
81030205399,2019,52800,125500,178300
80926207104,2019,65500,225900,291400
70933204029,2019,155400,314300,469700
70920213166,2019,114300,325700,440000
71019405143,2019,92300,351800,444100
70923309128,2019,54900,221100,276000
70923136141,2019,22000,224000,246000
70936302044,2019,63800,123300,187100
70821217027,2019,0,0,0
70924220133,2019,0,10000,10000
71005346955,2019,0,6500,6500
71027404062,2019,67400,201200,268600
70929213034,2019,85600,168400,254000
60811111024,2019,109100,284100,393200
60804102072,2019,89000,284700,373700
80924312012,2019,97000,397300,494300
70912410126,2019,507400,400800,908200
80925121975,2019,800,1200,2000
70829107014,2019,79600,257600,337200
60801316270,2019,24000,142900,166900
70929222051,2019,107800,291800,399600
70923413143,2019,1700,16300,18000
70932104147,2019,71700,169700,241400
60812403074,2019,73200,200200,273400
70914436146,2019,60700,449300,510000
80936202152,2019,48400,94400,142800
70912406141,2019,108100,211600,319700
70816314284,2019,143900,323900,467800
70926207147,2019,39000,114500,153500
70824106079,2019,126700,300700,427400
81021416088,2019,64200,146400,210600
70913423045,2019,130400,468600,599000
70913113018,2019,88400,111600,200000
70929203043,2019,83800,162300,246100
70823403054,2019,56500,209000,265500
70920418120,2019,119100,138600,257700
70824311107,2019,13500,140500,154000
70929211103,2019,78400,186700,265100
70923143659,2019,44900,312100,357000
70827300991,2019,9800,0,9800
70835202337,2019,106200,228200,334400
70928219190,2019,79400,225600,305000
80924422019,2019,8600,179500,188100
71006113072,2019,61800,150100,211900
70919223118,2019,98400,274000,372400
70824304079,2019,89700,189100,278800
81034413261,2019,67100,162500,229600
70920212085,2019,130300,419600,549900
70920306086,2019,114800,224700,339500
71005110045,2019,38300,83500,121800
71009308026,2019,71000,109800,180800
60802411029,2019,66200,148200,214400
71002107681,2019,9500,181300,190800
70922327212,2019,99500,313900,413400
70828405039,2019,0,0,0
70922414168,2019,88300,129800,218100
60812405393,2019,81800,213200,295000
70834308847,2019,24500,268400,292900
71027403238,2019,51000,189000,240000
70923156595,2019,5000,10000,15000
70913401059,2019,72000,144400,216400
70921211193,2019,70600,187200,257800
70923167667,2019,6500,18500,25000
70929414012,2019,0,0,0
70919227368,2019,28000,235500,263500
71019411091,2019,9000,70100,79100
70813402462,2019,434700,646600,1081300
60802313134,2019,97100,249800,346900
70932112166,2019,84700,138600,223300
70917100988,2019,0,0,0
70913133024,2019,556500,104700,661200
70919409239,2019,106200,227700,333900
70928220098,2019,108400,235400,343800
70913401116,2019,143400,132100,275500
70922335108,2019,151400,397800,549200
81021301411,2019,67100,173100,240200
70936304199,2019,64700,164400,229100
81031412224,2019,39300,102500,141800
71009110075,2019,75500,145500,221000
71035118019,2019,64600,318700,383300
70824214103,2019,151400,511100,662500
70918420012,2019,567000,3423000,3990000
81026360024,2019,4700,0,4700
70821404103,2019,108000,412600,520600
71027404103,2019,68200,205800,274000
80926104300,2019,53500,146500,200000
71020307130,2019,10300,115200,125500
70932209103,2019,20800,119000,139800
81021407053,2019,58200,180300,238500
60801307021,2019,71800,151900,223700
71004316157,2019,48300,161700,210000
70836404049,2019,72500,202200,274700
70816414175,2019,13100,221500,234600
71007204200,2019,76600,352500,429100
81027402073,2019,15300,0,15300
71002443077,2019,100,0,100
81026204074,2019,3800,0,3800
60801107033,2019,63900,165400,229300
60801201025,2019,67400,181700,249100
60802421135,2019,0,0,0
80924403811,2019,400,1600,2000
71003216085,2019,86000,364000,450000
71005320066,2019,105800,174400,280200
71009204216,2019,45100,156200,201300
71003311257,2019,48000,174800,222800
70926106109,2019,62300,215000,277300
60811304207,2019,87600,232100,319700
71003216043,2019,89000,336000,425000
70828419014,2019,0,0,0
71010407015,2019,58600,158800,217400
71007226048,2019,0,0,0
60812104135,2019,76000,189100,265100
70921303156,2019,188100,476500,664600
80924425708,2019,400,1600,2000
70814415026,2019,89800,227400,317200
70913429176,2019,15400,261400,276800
81033408023,2019,0,0,0
71014308110,2019,56100,203800,259900
70835122452,2019,6500,69800,76300
71019411166,2019,9000,138200,147200
60811109053,2019,102800,245600,348400
71009317093,2019,67500,150500,218000
71011305127,2019,69600,173100,242700
81028121143,2019,0,0,0
70833302444,2019,207000,388400,595400
70816301140,2019,29700,0,29700
70923201291,2019,869000,912000,1781000
71008104045,2019,40900,171700,212600
70836403124,2019,61900,201900,263800
80924405023,2019,19500,204000,223500
80926113111,2019,57000,156600,213600
71004401156,2019,68900,121000,189900
70814430090,2019,19700,190200,209900
71006307097,2019,0,0,0
71010109108,2019,59200,186700,245900
70828301170,2019,100,0,100
71005111126,2019,60600,119400,180000
60801419058,2019,16600,182200,198800
70918314083,2019,272900,107000,379900
70815404052,2019,528000,2277000,2805000
70822101104,2019,715000,1172000,1887000
81034402082,2019,66600,237100,303700
70836216155,2019,5400,96100,101500
70923152600,2019,22400,485100,507500
71002313105,2019,11000,0,11000
81032316095,2019,21000,129000,150000
81027207051,2019,443000,1183500,1626500
70922321090,2019,151400,275500,426900
81031227061,2019,52200,99700,151900
70922319029,2019,121400,396200,517600
60812116130,2019,77600,167900,245500
70932404109,2019,94000,191000,285000
60801219119,2019,72100,183000,255100
71021203080,2019,60500,132600,193100
70901105134,2019,58500,144400,202900
81028111029,2019,63000,251600,314600
71014210068,2019,56800,192900,249700
70814425075,2019,92300,201100,293400
70827402028,2019,91200,0,91200
70834418224,2019,27800,118500,146300
60801302229,2019,71100,156900,228000
71005113015,2019,58700,213600,272300
80936115074,2019,13800,94300,108100
81015303019,2019,0,0,0
71009313041,2019,106400,127400,233800
81030302129,2019,68300,177600,245900
80924441910,2019,400,1600,2000
71002410133,2019,100,0,100
71009218027,2019,48000,82000,130000
70913350371,2019,0,15000,15000
70923174753,2019,3300,11700,15000
70919409198,2019,103400,164300,267700
70923143716,2019,44900,190700,235600
71010206095,2019,53000,362000,415000
80924419917,2019,400,1600,2000
71009408123,2019,68300,150200,218500
70913434406,2019,0,18000,18000
70823402303,2019,33300,168700,202000
71009314081,2019,66800,133200,200000
71016417068,2019,61700,139500,201200
70920304220,2019,91100,208100,299200
70922346600,2019,0,15000,15000
70824106053,2019,125100,264100,389200
71021113099,2019,15100,94000,109100
71004315274,2019,57200,175700,232900
71011110013,2019,72300,203400,275700
70929306227,2019,87000,206500,293500
81034416083,2019,56000,174100,230100
70836419220,2019,65600,137100,202700
71004407352,2019,490000,2270000,2760000
81028105080,2019,59000,174400,233400
71005105088,2019,34300,134600,168900
71006126174,2019,52000,106600,158600
70826421467,2019,0,4000,4000
71007311013,2019,44300,284700,329000
70928107270,2019,108200,253900,362100
80924402011,2019,7500,110700,118200
70836409065,2019,60000,128700,188700
70920408254,2019,129500,172000,301500
70930409185,2019,71100,188100,259200
71015302137,2019,243000,608500,851500
71009107246,2019,54100,156400,210500
70836114193,2019,74800,215900,290700
80924427895,2019,400,1600,2000
70922321173,2019,146700,399000,545700
71006212121,2019,44000,151000,195000
81028121490,2019,10100,84900,95000
81032311136,2019,57000,358000,415000
70932207149,2019,19500,113000,132500
70824301116,2019,103100,298600,401700
60812222052,2019,26200,175700,201900
71004318103,2019,59400,202200,261600
70935206289,2019,37700,112300,150000
60812326060,2019,26500,192000,218500
81033304057,2019,43700,108400,152100
70923156850,2019,5000,10000,15000
80936111080,2019,14900,104300,119200
71004313301,2019,54100,152900,207000
81028107119,2019,69000,838000,907000
60802309159,2019,88500,186200,274700
70835304068,2019,78200,184500,262700
71006113048,2019,63800,173700,237500
81031218127,2019,73600,136400,210000
70923146497,2019,8000,7000,15000
70835124284,2019,500,1500,2000
70827101191,2019,3564000,6416000,9980000
70929208093,2019,81400,196900,278300
70822104067,2019,129400,265600,395000
70826414321,2019,16100,100900,117000
71011408103,2019,107300,291100,398400
70835107371,2019,169700,0,169700
81031212088,2019,36900,18700,55600
60804203060,2019,70600,0,70600
70923170280,2019,700,100,800
80924432943,2019,400,1600,2000
81028118588,2019,10100,89500,99600
70813303016,2019,0,0,0
70918304167,2019,71600,174800,246400
71014117024,2019,28400,129600,158000
71011118463,2019,30500,238500,269000
71019401050,2019,321500,228500,550000
70913223049,2019,7200,355700,362900
71006210026,2019,33300,293700,327000
70914418152,2019,508000,2000000,2508000
70928217152,2019,105600,154000,259600
70822107061,2019,58000,150900,208900
60811439103,2019,20000,190600,210600
70824220100,2019,97300,0,97300
70835202303,2019,106200,290000,396200
70923138139,2019,34200,312000,346200
70823202109,2019,134500,340500,475000
70935206049,2019,43100,109900,153000
71010311050,2019,54600,155100,209700
70834202114,2019,0,0,0
70835107074,2019,98700,268000,366700
70835108254,2019,203000,432900,635900
70920214015,2019,15200,240400,255600
70920306200,2019,95500,210400,305900
81031404099,2019,36700,155100,191800
71010403154,2019,59700,153500,213200
70926116083,2019,81000,182300,263300
70913311109,2019,80500,376000,456500
70923168516,2019,6500,13500,20000
60801308011,2019,84200,131400,215600
60902208037,2019,110000,665000,775000
71035207284,2019,43900,199700,243600
71006205051,2019,56000,126900,182900
81019304104,2019,60400,150900,211300
70929410169,2019,86000,211600,297600
70921309112,2019,109200,285100,394300
70921213272,2019,78800,220500,299300
81019304146,2019,58700,159300,218000
70933205100,2019,183700,489500,673200
71010204099,2019,58000,200300,258300
81034203282,2019,69300,176600,245900
70921405019,2019,0,0,0
71014109013,2019,28200,160500,188700
70833204088,2019,113300,238700,352000
71007304323,2019,78300,417900,496200
70920203076,2019,0,0,0
71005205052,2019,47900,228900,276800
71015204169,2019,47500,152200,199700
70919201073,2019,80600,185700,266300
71001318015,2019,64400,262700,327100
71006123196,2019,35300,136400,171700
70923173416,2019,3300,5900,9200
71016115076,2019,59100,98100,157200
70824106144,2019,119400,328500,447900
71005331146,2019,147200,393300,540500
70821114059,2019,55700,249800,305500
70914439116,2019,1000,8400,9400
70920216235,2019,9600,287200,296800
71003317156,2019,54000,191400,245400
70836213127,2019,11600,130700,142300
70835101068,2019,0,0,0
70919220049,2019,93800,184800,278600
70929426132,2019,112700,334800,447500
70919110315,2019,128200,66600,194800
60812117328,2019,79900,184900,264800
70923119080,2019,331000,582000,913000
60904101396,2019,92900,265700,358600
70928111198,2019,108200,311800,420000
80924306114,2019,68400,222600,291000
71009305155,2019,69100,137300,206400
70920218330,2019,400,14600,15000
71030203162,2019,84700,116300,201000
71005314233,2019,54100,233800,287900
70936304082,2019,65900,170400,236300
80924411012,2019,9300,139800,149100
70820107146,2019,100,0,100
80924432901,2019,400,1600,2000
71010105213,2019,59300,209700,269000
80924440780,2019,400,1600,2000
70920402074,2019,136800,97100,233900
70821108143,2019,113000,342500,455500
60801403126,2019,72300,166900,239200
81028121549,2019,8700,63000,71700
60802408167,2019,70700,147400,218100
60811112014,2019,0,0,0
70923217264,2019,0,0,0
81031418066,2019,38900,160000,198900
70926403141,2019,81500,148500,230000
71010212282,2019,60100,174500,234600
81022106068,2019,618500,4531500,5150000
70926304133,2019,104300,225000,329300
70833301165,2019,116700,356500,473200
70920303181,2019,139500,348300,487800
70923173870,2019,3300,5900,9200
60801409190,2019,69200,140000,209200
70835107082,2019,98100,232400,330500
60801305207,2019,76900,143900,220800
71006211058,2019,69200,148800,218000
60801108057,2019,66100,163200,229300
70813403189,2019,310200,475200,785400
71003203181,2019,56100,175600,231700
71006115268,2019,45400,188100,233500
70936305337,2019,62000,156900,218900
70823413318,2019,32800,216100,248900
70836208194,2019,73700,207300,281000
70931412070,2019,90800,280300,371100
70828310155,2019,80500,0,80500
80925206222,2019,62200,129500,191700
70921211143,2019,74000,184900,258900
80925216148,2019,57400,165700,223100
60811418016,2019,86500,173100,259600
81032310013,2019,38400,147000,185400
71007305115,2019,110400,339000,449400
71005222197,2019,63800,106400,170200
71011404127,2019,116800,221900,338700
70823202258,2019,0,0,0
71003316158,2019,57300,209300,266600
81035108168,2019,11300,0,11300
70823108323,2019,0,0,0
81028119784,2019,10100,93400,103500
71016402051,2019,61900,170500,232400
81023310171,2019,35600,96900,132500
71005404159,2019,0,0,0
70913209156,2019,104300,167100,271400
70833302395,2019,207000,477700,684700
70917101085,2019,51500,229700,281200
71009408149,2019,64100,158200,222300
80924444956,2019,400,1600,2000
70833401098,2019,212800,407200,620000
80926206164,2019,66200,210800,277000
80924402954,2019,400,1600,2000
70833107092,2019,102600,305700,408300
70923217214,2019,888000,3245000,4133000
71005341062,2019,100500,221000,321500
71012215151,2019,17700,262900,280600
70824221041,2019,117400,262900,380300
70924218378,2019,51300,743300,794600
81033205370,2019,47100,137900,185000
70929421158,2019,139000,336000,475000
71016403140,2019,62600,139900,202500
70913412022,2019,0,0,0
60801315214,2019,76200,226400,302600
70914420313,2019,139900,270500,410400
70835304076,2019,78200,197400,275600
60905207044,2019,57600,112600,170200
81032424054,2019,31800,119900,151700
80925116794,2019,800,1200,2000
70836317028,2019,30800,138800,169600
70920111097,2019,96800,274500,371300
70922225200,2019,195000,384000,579000
70919227300,2019,30300,211700,242000
71019411299,2019,9000,134000,143000
70929123887,2019,0,1000,1000
71005414190,2019,48000,124400,172400
70835122444,2019,6500,71300,77800
70928302094,2019,78800,221200,300000
81031405394,2019,38100,128900,167000
60801225398,2019,15000,138700,153700
70918205042,2019,123200,320300,443500
70923173854,2019,3300,5900,9200
70918320189,2019,20500,105500,126000
70913318098,2019,287000,1428000,1715000
70928224090,2019,220000,4400000,4620000
60801415098,2019,99000,180400,279400
71005221272,2019,51700,164000,215700
70934405022,2019,286000,429000,715000
70923212066,2019,446000,632000,1078000
70913404095,2019,130900,217900,348800
71005324042,2019,105800,215400,321200
71030210240,2019,83600,384000,467600
71006408019,2019,54100,281100,335200
70920117219,2019,126100,196000,322100
70826421938,2019,0,4000,4000
71021113528,2019,15100,92200,107300
70931103257,2019,107500,141800,249300
70919412068,2019,110300,305500,415800
70920410085,2019,123900,332900,456800
81027203207,2019,123000,177000,300000
60812106058,2019,89100,196100,285200
70823107078,2019,75500,141200,216700
81021300984,2019,0,0,0
80924101556,2019,174900,65000,239900
60811408174,2019,76100,175200,251300
70921112028,2019,99700,195300,295000
60812111065,2019,75000,188400,263400
70826403176,2019,89300,232900,322200
60812325145,2019,17100,108700,125800
60801411260,2019,73700,225500,299200
70836105176,2019,77100,177100,254200
70936409197,2019,68800,152200,221000
70923314052,2019,91900,274400,366300
70836210181,2019,11400,118600,130000
71035205246,2019,73800,218000,291800
70918307062,2019,74800,106500,181300
71015202197,2019,34300,184700,219000
81026358037,2019,100,0,100
71005307270,2019,60600,185400,246000
80926103196,2019,53600,149900,203500
70918320220,2019,20500,117600,138100
70913202233,2019,75900,101700,177600
70823311223,2019,10900,128900,139800
71030204178,2019,79400,81700,161100
71034109126,2019,66000,172800,238800
70936307010,2019,69000,167000,236000
70928204018,2019,97800,213700,311500
71021222014,2019,68100,331900,400000
71010118084,2019,58700,296600,355300
81031419139,2019,38800,114600,153400
70828113179,2019,86400,215500,301900
71005220018,2019,60600,100300,160900
71005210043,2019,0,0,0
71006118204,2019,63900,276400,340300
70913330026,2019,464000,963400,1427400
70913108259,2019,68700,140300,209000
71035207036,2019,43900,219400,263300
70820105017,2019,100,0,100
70835315271,2019,51900,332500,384400
70926117031,2019,179400,353200,532600
70834417078,2019,13200,0,13200
70935206271,2019,43100,111400,154500
81032417033,2019,35600,186600,222200
70929420077,2019,207400,772600,980000
81035108043,2019,63600,0,63600
70821111162,2019,114700,297600,412300
70918213110,2019,86000,156400,242400
80924418125,2019,9900,170700,180600
70913112250,2019,84800,363300,448100
70931304194,2019,110700,148500,259200
70820112012,2019,147000,0,147000
70821110221,2019,137200,263800,401000
70913353135,2019,36200,151900,188100
60802312219,2019,100700,214900,315600
71004310117,2019,54100,149500,203600
60904106065,2019,84300,179400,263700
70824311280,2019,14100,126500,140600
70835306171,2019,97100,194000,291100
71002406330,2019,37900,222000,259900
70826406253,2019,0,0,0
71002406249,2019,0,0,0
71006420154,2019,54000,416000,470000
71005417045,2019,0,0,0
60801409075,2019,76200,182700,258900
70929118177,2019,89900,301800,391700
71009308084,2019,68800,101200,170000
80924419131,2019,9900,164400,174300
71009403123,2019,65200,106400,171600
71004311131,2019,54100,154100,208200
81034405078,2019,64500,196800,261300
70928212201,2019,97800,225600,323400
70815402022,2019,0,0,0
80924403944,2019,400,1600,2000
71006403184,2019,57600,199500,257100
70918322367,2019,0,2000,2000
70920123026,2019,15200,99800,115000
60801108099,2019,66100,147500,213600
71009221179,2019,42700,162600,205300
80935108103,2019,690900,675600,1366500
70932201240,2019,0,0,0
71007114219,2019,84900,291800,376700
70826412044,2019,8200,63400,71600
71006314026,2019,0,0,0
70928211104,2019,89900,275300,365200
70836114060,2019,78400,158000,236400
71002435024,2019,8000,0,8000
70916401014,2019,0,0,0
71006312103,2019,60600,185800,246400
71011419100,2019,0,0,0
71005320074,2019,105800,226500,332300
70835201066,2019,175300,373600,548900
70929419195,2019,109900,227400,337300
71021104105,2019,60900,145900,206800
60801212014,2019,82700,150600,233300
71010404392,2019,64700,180100,244800
80924420146,2019,8600,150000,158600
70824309144,2019,14100,135500,149600
70923412343,2019,1700,16300,18000
70828413066,2019,0,0,0
70920106014,2019,129000,224300,353300
70821114124,2019,61300,209700,271000
71014216511,2019,7500,123300,130800
70823113116,2019,89400,271600,361000
60906109041,2019,66800,165100,231900
70929415119,2019,82300,238400,320700
70912403270,2019,105500,176300,281800
81021413125,2019,53600,152400,206000
71005402195,2019,44000,139800,183800
70934309331,2019,15700,94800,110500
71010209221,2019,57600,170400,228000
70833413035,2019,44700,427800,472500
70928108038,2019,134300,335700,470000
70828428015,2019,0,0,0
70913114181,2019,70100,396900,467000
70836202089,2019,77100,196600,273700
70822407065,2019,124200,333800,458000
70824310331,2019,14100,132800,146900
70929203035,2019,83800,156700,240500
60802412316,2019,47400,180200,227600
81015101059,2019,1448800,38206200,39655000
70912450031,2019,12900,261700,274600
70918410071,2019,166900,233400,400300
70913222223,2019,10600,324000,334600
70913108093,2019,78100,56900,135000
80936201089,2019,0,0,0
80924414131,2019,26000,295300,321300
71006416145,2019,126200,412800,539000
60906108069,2019,67600,143700,211300
81028300870,2019,417500,417500,835000
60811113088,2019,103300,266200,369500
70918302236,2019,74800,124500,199300
71034104085,2019,85000,195800,280800
70824214038,2019,112600,452500,565100
70913353052,2019,68500,299000,367500
70923117282,2019,0,0,0
71010218157,2019,10900,114100,125000
70926406012,2019,78900,111600,190500
70914420230,2019,283000,1542000,1825000
71015406111,2019,50700,175100,225800
71004405281,2019,49300,137600,186900
81021110028,2019,61000,192500,253500
60801104162,2019,65000,168300,233300
60801105219,2019,66700,165300,232000
81029100089,2019,0,440000,440000
70923125201,2019,500000,650000,1150000
71004305184,2019,52800,169600,222400
71005414025,2019,51900,94700,146600
81028104123,2019,55400,117700,173100
70922338110,2019,90800,309200,400000
81034109183,2019,62400,179000,241400
70836428015,2019,30300,98500,128800
71005227329,2019,38400,125900,164300
70930401115,2019,83100,221100,304200
71015206107,2019,47200,160300,207500
81023304504,2019,35600,123200,158800
80926106322,2019,53500,132100,185600
70913205097,2019,80800,157100,237900
71005413126,2019,55900,140400,196300
70920104125,2019,111800,164600,276400
70923126275,2019,129400,186400,315800
60802413497,2019,64000,169700,233700
71005411021,2019,55300,129900,185200
70828441033,2019,0,0,0
80924418167,2019,9900,171800,181700
81019304170,2019,58900,146100,205000
60811403174,2019,80600,186500,267100
70928307193,2019,137100,242200,379300
80925107107,2019,62100,122300,184400
70920402230,2019,144100,296300,440400
70823313120,2019,16300,119100,135400
70923145027,2019,8000,7000,15000
80936412165,2019,74600,122300,196900
71006416129,2019,55000,302100,357100
81021301130,2019,64400,269800,334200
60903203060,2019,0,0,0
60812201189,2019,78800,141300,220100
71009304074,2019,68800,147400,216200
70929206279,2019,85000,283000,368000
70914302032,2019,671000,1994000,2665000
71005101044,2019,34300,168900,203200
81028112100,2019,61400,159100,220500
71001325135,2019,24900,147900,172800
71007212196,2019,24000,304000,328000
70931208312,2019,119100,236700,355800
70835305131,2019,80300,167400,247700
71009414039,2019,62600,132100,194700
70914409094,2019,1315000,1685000,3000000
81030211023,2019,51700,151500,203200
70913434555,2019,0,2300,2300
60811418157,2019,75600,196800,272400
71007315122,2019,172100,290100,462200
70834215018,2019,86900,305100,392000
70912428012,2019,9000,97400,106400
81034416075,2019,56700,184000,240700
70919217096,2019,84700,70200,154900
60812402141,2019,77100,177400,254500
71009224199,2019,0,0,0
70836208300,2019,34300,145700,180000
60905104026,2019,50800,122300,173100
70933203047,2019,141700,134400,276100
80925110324,2019,57600,133800,191400
71007303341,2019,96000,244100,340100
60905102070,2019,48900,83500,132400
71005338168,2019,100700,219600,320300
70923165421,2019,57200,274300,331500
70920219700,2019,0,0,0
70829105141,2019,47400,278600,326000
71015117057,2019,55100,169200,224300
71001331033,2019,59100,168200,227300
70928302119,2019,91100,267400,358500
70836202188,2019,77000,200800,277800
71005332037,2019,120600,213600,334200
80925414081,2019,59200,151300,210500
70834418216,2019,22200,119100,141300
70913346619,2019,261300,1693900,1955200
60812112021,2019,81600,156100,237700
71027418071,2019,0,0,0
70814201102,2019,116100,308900,425000
70914438118,2019,2200,22800,25000
70828443013,2019,0,0,0
70823122018,2019,24400,88900,113300
80936411109,2019,65700,86800,152500
70930106054,2019,760000,3040000,3800000
70931207041,2019,97700,227900,325600
70816319044,2019,159600,584700,744300
81021302154,2019,48400,150100,198500
80924430070,2019,13300,219700,233000
60904108128,2019,96400,249200,345600
80925401161,2019,57600,145100,202700
70919309041,2019,113300,173100,286400
80926105340,2019,54900,176800,231700
70921120097,2019,131700,256000,387700
71006305182,2019,106200,189800,296000
70836405592,2019,58700,145700,204400
70928108278,2019,109100,279000,388100
70931207075,2019,71900,229700,301600
71032200976,2019,0,0,0
60801114153,2019,55300,169700,225000
70836405451,2019,67000,143300,210300
71003407072,2019,52400,200300,252700
70927107205,2019,29200,307600,336800
70929205081,2019,78300,188400,266700
71006103198,2019,56800,173400,230200
70920222109,2019,16400,170100,186500
71007117049,2019,67600,372400,440000
81034409327,2019,66600,156800,223400
70922432079,2019,90000,460000,550000
70834427085,2019,25600,158000,183600
70918415526,2019,10500,107800,118300
60801212428,2019,74200,143200,217400
70932201084,2019,76500,135400,211900
70914436196,2019,151100,843900,995000
71011204056,2019,48700,243400,292100
70913347146,2019,2500,12500,15000
70923162518,2019,8000,7000,15000
81034101080,2019,70200,247200,317400
70928314221,2019,144500,342500,487000
80925404024,2019,56200,161500,217700
71006307196,2019,69200,143700,212900
60906207069,2019,62100,148900,211000
70813314237,2019,9300,168900,178200
70931202140,2019,0,0,0
70824305019,2019,114700,238800,353500
70932411310,2019,140000,66000,206000
70816303063,2019,176900,390600,567500
71003311314,2019,51800,154500,206300
71014215688,2019,7800,120500,128300
81027204081,2019,587500,330500,918000
70931411212,2019,105900,144800,250700
